

Number	Group	Conceptual Use
1	0	0
1	1	-0.27308
1	0	-0.20368
1	0	0
1	0	-0.5
1	0	0
1	0	-1.07696
1	0	-1
1	0	0.5
1	0	0.5
1	0	0
1	1	-0.33275
1	0	-0.5
1	0	0.1084
1	1	0.5
1	1	1.08437
1	0	0.45887
1	1	0.47218
1	1	0.25865
1	0	0.03468
1	0	-0.32544
1	0	0
1	1	-0.32632
1	1	0.06361
1	0	0.78793
1	1	0.71955
1	1	-0.47598
1	0	1.27354
1	0	-0.19696
1	0	0.55712
1	1	0.21759
1	1	0.5
1	1	0.5
1	1	0
1	0	0.31358
1	1	-0.46216
1	0	0.5
1	1	-0.43838
1	1	0
1	1	0
1	0	1
1	0	1
1	1	0
1	0	0
1	1	2.10214
1	0	1.17935
1	0	-0.5
1	1	-0.79544
1	1	1.44805
1	1	0.28978
1	1	0.63793
1	1	0
1	0	-0.5
1	1	0.33315
1	0	0
1	0	-0.5
1	0	-0.41469
1	0	-0.41175
1	0	-0.5233
1	1	0.46741
1	1	0.16632
1	1	0.31968
1	1	0.5
1	1	0.25
1	1	0.5
1	1	0.5
1	1	-0.36598
1	1	1.08179
1	1	0.87153
1	1	0
1	0	0.46167
1	0	0.14476
1	0	0.37031
1	0	0
1	1	-0.53587
1	1	0.28648
1	0	0.5
1	1	-0.12393
1	1	1.10701
1	0	-2
1	0	-0.29803
1	0	0.50178
1	1	0
1	1	0.42843
1	1	0.5
1	1	-0.25873
1	1	-1
1	0	0.5
1	0	-0.01167
1	1	0
1	1	0.63064
1	0	-0.09547
1	0	-0.15384
1	0	-1.56105
1	0	0.26442
1	0	-0.94247
2	0	0
2	1	0.19661
2	0	-0.54016
2	0	0
2	0	-0.5
2	0	0
2	0	0.38268
2	0	-1
2	0	0.5
2	0	0.5
2	0	0
2	1	-0.00978
2	0	-0.5
2	0	-0.15377
2	1	0.5
2	1	0.53757
2	0	0.67083
2	1	-0.10706
2	1	1.03271
2	0	-0.87553
2	0	0.19114
2	0	0
2	1	0.38092
2	1	0.13443
2	0	0.44732
2	1	0.25741
2	1	0.16482
2	0	0.69797
2	0	-0.52036
2	0	-0.62976
2	1	0.02007
2	1	0.5
2	1	0.5
2	1	0
2	0	-0.63324
2	1	0.97652
2	0	0.5
2	1	0.50935
2	1	0
2	1	0
2	0	1
2	0	1
2	1	0
2	0	0
2	1	-0.18521
2	0	0.68202
2	0	-0.5
2	1	0.87115
2	1	0.81922
2	1	0.63312
2	1	-0.17596
2	1	0
2	0	-0.5
2	1	0.92062
2	0	0
2	0	-0.5
2	0	0.477
2	0	0.16429
2	0	0.25821
2	1	0.17204
2	1	-0.18511
2	1	0.14922
2	1	0.5
2	1	0.25
2	1	0.5
2	1	0.5
2	1	0.0853
2	1	-0.15974
2	1	1.343
2	1	0
2	0	-0.14461
2	0	-0.07552
2	0	0.10026
2	0	0
2	1	0.02965
2	1	-0.21352
2	0	0.5
2	1	0.36034
2	1	0.63947
2	0	-2
2	0	-1.05913
2	0	0.37009
2	1	0
2	1	0.66494
2	1	0.5
2	1	-0.77572
2	1	-1
2	0	0.5
2	0	1.26334
2	1	0
2	1	0.90958
2	0	0.0761
2	0	-0.29713
2	0	0.4521
2	0	-0.24623
2	0	-0.55418
3	0	0
3	1	0.23127
3	0	0.23269
3	0	0
3	0	-0.5
3	0	0
3	0	-0.01962
3	0	-1
3	0	0.5
3	0	0.5
3	0	0
3	1	0.05084
3	0	-0.5
3	0	-0.45949
3	1	0.5
3	1	0.57939
3	0	0.33138
3	1	0.12428
3	1	0.03392
3	0	-0.51909
3	0	0.77596
3	0	0
3	1	-0.24475
3	1	-0.17282
3	0	0.98663
3	1	0.72731
3	1	0.60478
3	0	0.19131
3	0	0.198
3	0	-0.04905
3	1	0.54325
3	1	0.5
3	1	0.5
3	1	0
3	0	0.40012
3	1	0.88744
3	0	0.5
3	1	0.32562
3	1	0
3	1	0
3	0	1
3	0	1
3	1	0
3	0	0
3	1	0.98074
3	0	0.52717
3	0	-0.5
3	1	0.10774
3	1	-0.19357
3	1	0.91569
3	1	-0.26292
3	1	0
3	0	-0.5
3	1	-1.0911
3	0	0
3	0	-0.5
3	0	-0.37752
3	0	-0.43855
3	0	0.12786
3	1	0.4022
3	1	0.64517
3	1	-0.3613
3	1	0.5
3	1	0.25
3	1	0.5
3	1	0.5
3	1	0.51384
3	1	1.09905
3	1	0.13017
3	1	0
3	0	0.04673
3	0	-0.13162
3	0	0.1624
3	0	0
3	1	0.04457
3	1	-0.71288
3	0	0.5
3	1	0.08614
3	1	0.63576
3	0	-2
3	0	0.3948
3	0	0.7401
3	1	0
3	1	-0.47924
3	1	0.5
3	1	0.03887
3	1	-1
3	0	0.5
3	0	-0.3839
3	1	0
3	1	0.09645
3	0	-0.23856
3	0	-0.12683
3	0	0.52665
3	0	0.04379
3	0	0.21636
4	0	0
4	1	-0.12827
4	0	0.52637
4	0	0
4	0	-0.5
4	0	0
4	0	-0.45184
4	0	-1
4	0	0.5
4	0	0.5
4	0	0
4	1	0.47883
4	0	-0.5
4	0	0.45403
4	1	0.5
4	1	0.01419
4	0	0.9916
4	1	0.22621
4	1	0.62766
4	0	-0.46921
4	0	0.69658
4	0	0
4	1	0.1973
4	1	-0.05737
4	0	0.49841
4	1	0.14217
4	1	-0.44318
4	0	0.40984
4	0	-0.21619
4	0	0.50343
4	1	0.23884
4	1	0.5
4	1	0.5
4	1	0
4	0	-0.04162
4	1	-0.31937
4	0	0.5
4	1	0.77193
4	1	0
4	1	0
4	0	1
4	0	1
4	1	0
4	0	0
4	1	0.3281
4	0	1.17242
4	0	-0.5
4	1	0.18525
4	1	0.73739
4	1	-0.1121
4	1	0.32249
4	1	0
4	0	-0.5
4	1	0.59127
4	0	0
4	0	-0.5
4	0	-0.21067
4	0	-0.16491
4	0	-0.16234
4	1	0.40949
4	1	-0.00194
4	1	1.21882
4	1	0.5
4	1	0.25
4	1	0.5
4	1	0.5
4	1	-0.23108
4	1	-0.15977
4	1	-0.16957
4	1	0
4	0	0.47731
4	0	0.35798
4	0	0.99886
4	0	0
4	1	-0.91859
4	1	-0.82626
4	0	0.5
4	1	0.35913
4	1	0.12674
4	0	-2
4	0	-0.24842
4	0	0.2322
4	1	0
4	1	0.06901
4	1	0.5
4	1	-0.27936
4	1	-1
4	0	0.5
4	0	0.3953
4	1	0
4	1	0.24151
4	0	-0.75184
4	0	-0.88055
4	0	0.31172
4	0	-0.58684
4	0	0.38797
5	0	0
5	1	-0.218
5	0	-0.02866
5	0	0
5	0	-0.5
5	0	0
5	0	-0.56142
5	0	-1
5	0	0.5
5	0	0.5
5	0	0
5	1	0.14509
5	0	-0.5
5	0	-0.29157
5	1	0.5
5	1	0.49983
5	0	-0.54836
5	1	-0.46832
5	1	0.24829
5	0	-0.17509
5	0	0.44511
5	0	0
5	1	-0.13215
5	1	-0.07559
5	0	0.00692
5	1	0.32854
5	1	-0.40686
5	0	0.84357
5	0	-0.67296
5	0	0.53359
5	1	0.44718
5	1	0.5
5	1	0.5
5	1	0
5	0	-0.40719
5	1	-0.91077
5	0	0.5
5	1	0.97332
5	1	0
5	1	0
5	0	1
5	0	1
5	1	0
5	0	0
5	1	0.35999
5	0	0.08521
5	0	-0.5
5	1	-0.30326
5	1	0.29132
5	1	0.86643
5	1	0.61712
5	1	0
5	0	-0.5
5	1	0.20267
5	0	0
5	0	-0.5
5	0	-0.18163
5	0	-0.81288
5	0	-0.16746
5	1	0.24527
5	1	-0.00151
5	1	0.01382
5	1	0.5
5	1	0.25
5	1	0.5
5	1	0.5
5	1	0.36714
5	1	-0.30495
5	1	1.12521
5	1	0
5	0	0.73575
5	0	-0.78084
5	0	0.02825
5	0	0
5	1	0.02814
5	1	-0.67145
5	0	0.5
5	1	0.64175
5	1	0.86491
5	0	-2
5	0	-0.09292
5	0	-0.35635
5	1	0
5	1	-0.72339
5	1	0.5
5	1	0.0237
5	1	-1
5	0	0.5
5	0	0.79582
5	1	0
5	1	0.44066
5	0	-0.68648
5	0	-0.16066
5	0	-1.01927
5	0	-0.91339
5	0	-1.31111
6	0	0
6	1	0.5387
6	0	-0.39803
6	0	0
6	0	-0.5
6	0	0
6	0	-0.40595
6	0	-1
6	0	0.5
